供应商名称,是否在合格供应商库,库内覆盖类别,库内物料数,库内物料示例,历史采购次数,最近采购流水号,最近采购日期,采购物料种类
3M,是,生产耗材,1,深层过滤,0,,,0
CELLON,是,生产耗材,7,1000ml PC Pharma Tainer non irradinted; 500ml PC Pharma Tainer non irradinted; 500ml PC pharma Tainer non irradinted; 样品瓶,0,,,0
Copyright Polyplus Transfection,是,原材料,1,PEIPro-GMP转染试剂,0,,,0
Corning Incorporated,是,生产耗材,1,细胞筛（40um）,0,,,0
Corning Incorporated - Life Sciences,是,生产耗材,3,T150 细胞培养瓶; T75细胞培养瓶; 移液管50ml,0,,,0
Corning Incorporated-Life Sciences,是,生产耗材,4,FLASK，ERLENMEYER，1000ML，43mm，W/Vent，CAP，S，IND，1/25; FLASK，Erl，250ml，38mm Vent，PC，S，Ind，1/50; PIPETTE，2ML，PPW，PS，S，IND，50BA; VIAL，2.0ML，RB，SS，EXP，PP，S，BK,0,,,0
Cytiva,是,"原材料, 生产耗材, 辅料",3,CaptoTM Core 700; WFI QUALITY WATER; 淋巴细胞分离液,0,,,0
DOW CHEMICAL PACIFIC LIMITED,是,原材料,1,消泡剂,0,,,0
Datwyler Pharma Packaging Belgium NV,是,包装材料,4,SERUM STOPPER涂膜溴化丁基胶塞; 铝塑组合盖,0,,,0
Elitecell Biomedical Corp,是,原材料,1,人血小板裂解物,0,,,0
GenScript PROBIO,是,原材料,1,pAB401-BsaI-Linear,0,,,0
Gibco,是,生产耗材,1,Trpan Blue Stain（0.4%）,0,,,0
JK BAKER,是,原材料,1,葡萄糖,0,,,0
Life Technoiolges part of Thermo Fisher Scientific,是,原材料,1,血清替代物SR,0,,,0
Merck,是,原材料,11,乙酸钾; 无水乙醇; 氨丁三醇; 氯化钠; 浓氨溶液,0,,,0
Miltenyi Biotec B.V. & Co. KG,是,生产耗材,1,冻存袋50ml,0,,,0
Oxoid,是,原材料,1,酵母粉,0,,,0
PALL Corporation,是,生产耗材,2,2.5m2100KD超滤膜包; 3K OMEGA CENTRASETTE T-SERIES 0.5m²/5.38ft²,0,,,0
Sigma-Aldrich,是,原材料,1,消泡剂SE-15,0,,,0
Solabia,是,原材料,1,大豆蛋白胨,0,,,0
StemCell,是,原材料,1,抗体激活剂,0,,,0
Thermo Fisher,是,生产耗材,2,100L配液桶; 10mL Serological Pipette,0,,,0
Thermofisher-Gibco,是,原材料,1,Opti-MEM培养基,0,,,0
biolife solutions,是,原材料,1,冻存液,0,,,0
上海乐纯生物技术有限公司,是,生产耗材,3,500ml PC Pharma Tainer non irradinted; 样品瓶; 热塑管,0,,,0
上海亮黑科技有限公司,是,生产耗材,5,10L储液袋; 20L储液袋; Single-Use Bag,0,,,0
上海优宁维生物科技股份有限公司,是,原材料,2,PEIPro-GMP转染试剂; 淋巴细胞分离液,0,,,0
上海倍谙基生物科技有限公司,是,原材料,1,293细胞无血清培养基,0,,,0
上海倍锦生物科技有限公司,是,原材料,1,293细胞无血清培养基,0,,,0
上海华雅思创生物科技有限公司,否,,0,,20,202507020023,2025-07-02,6
上海多宁生物科技股份有限公司,是,生产耗材,3,250ml细胞培养瓶; Single-Use Bag,0,,,0
上海奥浦迈生物科技有限公司,是,原材料,2,OPM-293 CD05 培养基,0,,,0
上海思而净洁净科技有限公司,否,,0,,1,202512010011,2025-12-01,1
上海源培生物科技股份有限公司,是,原材料,1,293Pro®CD293M无血清培养基，无动物源,0,,,0
上海百赛生物技术股份有限公司北京分公司,是,生产耗材,3,T150 细胞培养瓶; T75细胞培养瓶; 细胞筛（40um）,20,202603270016,2026-03-27,12
上海迈邦生物科技有限公司,是,原材料,2,HEK293 MaxD,0,,,0
东莞富怡互联网医院有限公司,是,"原材料, 辅料",2,氯化钠注射液; 注射用重组人白介素-2,8,202507140005,2025-07-14,2
中仪环科（北京）科技有限公司,否,,0,,1,202603090012,2026-03-09,1
中博瑞康(嘉兴)生物医疗器械有限公司,是,生产耗材,1,冻存袋,0,,,0
中因,是,原材料,1,枸橼酸钠,0,,,0
中国太平洋财产保险股份有限公司,否,,0,,1,202604100008,2026-04-10,1
中国食品药品检定研究院,否,,0,,1,202602270002,2026-02-27,1
中山康天晟合生物技术有限公司,是,原材料,2,Wayne293培养基,0,,,0
中峤科技有限公司,否,,0,,3,202604080012,2026-04-08,2
中生华美（北京）科学器材有限公司,是,生产耗材,2,PIPETTE，2ML，PPW，PS，S，IND，50BA; 血清移液管,0,,,0
中科易方国际健康管理（北京）有限公司,是,,0,,3,202605060006,2026-05-06,3
为度生物,否,,0,,4,202505150015,2025-05-15,4
京东,否,,0,,199,202506230010,2025-06-23,140
京东ICERS自营旗舰店,否,,0,,1,202605220009,2026-05-22,1
京东自营,否,,0,,1,202510180002,2025-10-18,1
京东鱼跃京东自营旗舰店,否,,0,,1,202605060003,2026-05-06,1
京东鱼跃自营旗舰店,否,,0,,1,202605220009,2026-05-22,1
伊诺凯,否,,0,,1,202507240009,2025-07-24,1
全式金,否,,0,,2,202604150006,2026-04-15,1
北京万隆和科技有限公司,否,,0,,1,202507230011,2025-07-23,1
北京东山泽科贸有限责任公司,是,生产耗材,1,中空纤维,0,,,0
北京中研华誉生物技术有限公司,否,,0,,14,202512030009,2025-12-03,9
北京众和绿达净化技术有限公司,否,,0,,3,202510270006,2025-10-27,3
北京信至利达商贸有限公司,否,,0,,3,202507210015,2025-07-21,3
北京全式金生物技术股份有限公司,否,,0,,4,202602130005,2026-02-13,1
北京凤礼精求医药股份有限公司,是,辅料,1,泊洛沙姆188（P188）,0,,,0
北京双鹭药业股份有限公司,是,原材料,1,注射用重组人白介素-2,0,,,0
北京同立海源生物科技有限公司,是,原材料,4,AMMS®NK无血清培养基; 抗人CD3单克隆抗体,4,202512180007,2025-12-18,4
