物料名称,货号,规格,采购次数,历史均价,最低价,最高价,价差,有价差,价差异常原因,最近供应商,最近采购日期,最近单价
"醋酸盐缓冲液,500mL,pH3.5",BWZ8104-2016,"500mL/瓶,pH3.5",29,108.0,108.0,108.0,0.0,否,,北京林萘生物科技有限公司,2026-04-17,108.0
大盘纸,无,无,11,107.23,97.68,113.0,15.32,是,电商正常波动,,2026-05-09,110.5
NK细胞无血清培养基,NC0102,1000ml/瓶,10,408.1,407.0,418.0,11.0,是,,友康厚德生物制品（北京）有限公司,2026-03-25,407.0
免疫细胞修复培养基,NC0102.F,200ml/瓶,9,1318.44,536.0,1542.0,1006.0,是,,友康厚德生物制品（北京）有限公司,2026-03-25,1542.0
A4纸,无,无,9,169.0,140.2,183.0,42.8,是,电商正常波动,,2026-05-09,164.8
超纯NK试剂盒50ml,AN0104.2,NA,7,1494.0,1494.0,1494.0,0.0,否,,友康厚德生物制品（北京）有限公司,2026-03-25,1494.0
人血白蛋白,,10g(20%:50ml)/瓶,6,554.0,554.0,554.0,0.0,否,,十济民医院（东莞）有限公司,2026-04-13,554.0
直接电表,无,无,6,129.66,64.32,195.0,130.68,是,已解释——三相表¥195 vs 单相表¥64，不同规格,,2025-09-22,195.0
25压线端子,无,无,6,31.21,18.42,44.0,25.58,是,已解释——大规格¥44 vs 小规格¥18，不同规格,,2025-09-22,44.0
CryoStor CS10 冻存液,100-1061,100ml/瓶,5,2940.0,2850.0,3300.0,450.0,是,,上海华雅思创生物科技有限公司,2026-03-31,3300.0
洗手液,无,无,5,84.46,79.9,89.9,10.0,是,电商正常波动,,2026-03-04,79.9
TSA(90mm）,CP0201C,15袋/箱,5,435.0,435.0,435.0,0.0,否,,广东环凯微生物科技有限公司,2025-11-06,435.0
血清替代物SR,A2596102,500ml/瓶,4,18105.78,17305.9,18905.64,1599.74,是,,英潍捷基（上海）贸易有限公司,2026-04-20,18905.64
杜氏磷酸盐缓冲液（DPBS）,14190250,500ml/瓶,4,276.87,272.764,280.972,8.21,是,,英潍捷基（上海）贸易有限公司,2026-04-20,280.972
"硫乙醇酸盐流体培养
基",HBPP5190-500,500ml/12瓶/箱,4,240.0,240.0,240.0,0.0,否,,北京中研华誉生物技术有限公司,2026-04-17,240.0
样本密度分离液,7912011,250ml/瓶,4,276.0,276.0,276.0,0.0,否,,北京达科为生物技术有限公司,2026-05-13,276.0
MEM Alpha Modification,SH30265.01,500ml/瓶,4,80.0,80.0,80.0,0.0,否,,上海华雅思创生物科技有限公司,2026-03-31,80.0
